,trip_id,route_id,route_type,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,operator,bearing
12363,616,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 22:36:00,19.0172909,72.8434865,81360.0,rail,34.3546197251
5930,307,Western Line,rail,2017-06-05 00:00:00,19.0547926,72.8406549,2017-06-05 00:03:00,19.0698428,72.8402856,180.0,rail,358.671416207
12556,623,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 07:32:00,18.9766017,72.8326658,27120.0,rail,337.912203953
13098,641,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 18:37:00,19.218328,73.0868268,67020.0,rail,31.7560321231
13613,659,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 09:50:00,19.0856491,72.9082207,35400.0,rail,59.8153286205
13624,659,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 10:17:00,19.218328,73.0868268,37020.0,rail,31.7560321231
13626,659,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 10:26:00,19.2354082,73.131024,37560.0,rail,73.1551489459
13664,661,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:52:00,18.9766017,72.8326658,35520.0,rail,337.912203953
13668,661,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 09:58:00,19.0172909,72.8434865,35880.0,rail,34.3546197251
13671,661,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 10:06:00,19.0655986,72.8791535,36360.0,rail,38.3921476834
13673,661,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:11:00,19.0856491,72.9082207,36660.0,rail,59.8153286205
13619,659,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 10:04:00,19.1860408,72.9758837,36240.0,rail,21.1752874688
13679,661,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 10:25:00,19.1860408,72.9758837,37500.0,rail,21.1752874688
13100,641,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 18:46:00,19.2354082,73.131024,67560.0,rail,73.1551489459
14631,691,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 18:45:00,19.0655986,72.8791535,67500.0,rail,38.3921476834
14348,683,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 08:59:00,19.0172909,72.8434865,32340.0,rail,34.3546197251
13093,641,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 18:24:00,19.1860408,72.9758837,66240.0,rail,21.1752874688
14694,693,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 19:54:00,18.9766017,72.8326658,71640.0,rail,337.912203953
14681,692,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 20:02:00,19.2354082,73.131024,72120.0,rail,73.1551489459
14679,692,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 19:53:00,19.218328,73.0868268,71580.0,rail,31.7560321231
14673,692,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 19:39:00,19.1565109,72.9637728,70740.0,rail,83.4684783697
14628,691,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 18:37:00,19.0172909,72.8434865,67020.0,rail,34.3546197251
14668,692,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 19:26:00,19.0856491,72.9082207,69960.0,rail,59.8153286205
14663,692,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 19:13:00,19.0172909,72.8434865,69180.0,rail,34.3546197251
14344,683,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 08:53:00,18.9766017,72.8326658,31980.0,rail,337.912203953
14659,692,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 19:07:00,18.9766017,72.8326658,68820.0,rail,337.912203953
14644,691,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 19:17:00,19.218328,73.0868268,69420.0,rail,31.7560321231
14638,691,Central Line,rail,2017-06-05 00:00:00,19.1546597,72.9466564,2017-06-05 19:03:00,19.1565109,72.9637728,68580.0,rail,83.4684783697
14633,691,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 18:50:00,19.0856491,72.9082207,67800.0,rail,59.8153286205
14666,692,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 19:21:00,19.0655986,72.8791535,69660.0,rail,38.3921476834
12560,623,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 07:38:00,19.0172909,72.8434865,27480.0,rail,34.3546197251
12563,623,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 07:46:00,19.0655986,72.8791535,27960.0,rail,38.3921476834
13684,661,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 10:38:00,19.218328,73.0868268,38280.0,rail,31.7560321231
13594,658,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 09:54:00,19.218328,73.0868268,35640.0,rail,31.7560321231
13604,659,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:31:00,18.9766017,72.8326658,34260.0,rail,337.912203953
13536,656,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 08:57:00,19.2354082,73.131024,32220.0,rail,73.1551489459
13698,662,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 10:28:00,19.0172909,72.8434865,37680.0,rail,34.3546197251
13703,662,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 10:41:00,19.0856491,72.9082207,38460.0,rail,59.8153286205
16477,748,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 21:41:00,19.218328,73.0868268,78060.0,rail,31.7560321231
13589,658,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 09:41:00,19.1860408,72.9758837,34860.0,rail,21.1752874688
16472,748,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 21:29:00,19.1860408,72.9758837,77340.0,rail,21.1752874688
16464,748,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 21:09:00,19.0655986,72.8791535,76140.0,rail,38.3921476834
16461,748,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 21:01:00,19.0172909,72.8434865,75660.0,rail,34.3546197251
16457,748,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 20:54:00,18.9766017,72.8326658,75240.0,rail,337.912203953
16444,747,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 19:21:00,19.2354082,73.131024,69660.0,rail,73.1551489459
16442,747,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 19:14:00,19.218328,73.0868268,69240.0,rail,31.7560321231
16437,747,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 19:02:00,19.1860408,72.9758837,68520.0,rail,21.1752874688
16466,748,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 21:14:00,19.0856491,72.9082207,76440.0,rail,59.8153286205
13583,658,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 09:27:00,19.0856491,72.9082207,34020.0,rail,59.8153286205
13581,658,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 09:22:00,19.0655986,72.8791535,33720.0,rail,38.3921476834
13578,658,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 09:14:00,19.0172909,72.8434865,33240.0,rail,34.3546197251
13686,661,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 10:47:00,19.2354082,73.131024,38820.0,rail,73.1551489459
13611,659,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 09:45:00,19.0655986,72.8791535,35100.0,rail,38.3921476834
13694,662,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 10:22:00,18.9766017,72.8326658,37320.0,rail,337.912203953
13608,659,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 09:37:00,19.0172909,72.8434865,34620.0,rail,34.3546197251
13596,658,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 10:03:00,19.2354082,73.131024,36180.0,rail,73.1551489459
13544,657,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 08:36:00,18.9766017,72.8326658,30960.0,rail,337.912203953
13548,657,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 08:42:00,19.0172909,72.8434865,31320.0,rail,34.3546197251
13551,657,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 08:50:00,19.0655986,72.8791535,31800.0,rail,38.3921476834
13553,657,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 08:55:00,19.0856491,72.9082207,32100.0,rail,59.8153286205
13559,657,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 09:09:00,19.1860408,72.9758837,32940.0,rail,21.1752874688
13564,657,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 09:22:00,19.218328,73.0868268,33720.0,rail,31.7560321231
13566,657,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 09:31:00,19.2354082,73.131024,34260.0,rail,73.1551489459
13574,658,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 09:08:00,18.9766017,72.8326658,32880.0,rail,337.912203953
12547,622,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 07:44:00,19.218328,73.0868268,27840.0,rail,31.7560321231
12549,622,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 07:53:00,19.2354082,73.131024,28380.0,rail,73.1551489459
16429,747,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 18:42:00,19.0655986,72.8791535,67320.0,rail,38.3921476834
13499,655,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 06:56:00,19.1860408,72.9758837,24960.0,rail,21.1752874688
13504,655,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 07:09:00,19.218328,73.0868268,25740.0,rail,31.7560321231
13506,655,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 07:18:00,19.2354082,73.131024,26280.0,rail,73.1551489459
14189,678,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 19:19:00,19.1860408,72.9758837,69540.0,rail,21.1752874688
12592,624,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 08:45:00,19.0655986,72.8791535,31500.0,rail,38.3921476834
14194,678,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 19:32:00,19.218328,73.0868268,70320.0,rail,31.7560321231
12600,624,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 09:04:00,19.1860408,72.9758837,32640.0,rail,21.1752874688
12605,624,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 09:17:00,19.218328,73.0868268,33420.0,rail,31.7560321231
12607,624,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 09:26:00,19.2354082,73.131024,33960.0,rail,73.1551489459
14183,678,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 19:05:00,19.0856491,72.9082207,68700.0,rail,59.8153286205
13274,647,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 20:58:00,19.2354082,73.131024,75480.0,rail,73.1551489459
13267,647,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 20:36:00,19.1860408,72.9758837,74160.0,rail,21.1752874688
13261,647,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 20:22:00,19.0856491,72.9082207,73320.0,rail,59.8153286205
14196,678,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 19:41:00,19.2354082,73.131024,70860.0,rail,73.1551489459
13908,669,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 16:43:00,19.0172909,72.8434865,60180.0,rail,34.3546197251
14589,690,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 16:17:00,18.9766017,72.8326658,58620.0,rail,337.912203953
13763,664,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 12:19:00,19.0856491,72.9082207,44340.0,rail,59.8153286205
13272,647,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 20:49:00,19.218328,73.0868268,74940.0,rail,31.7560321231
13769,664,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 12:33:00,19.1860408,72.9758837,45180.0,rail,21.1752874688
14181,678,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 19:00:00,19.0655986,72.8791535,68400.0,rail,38.3921476834
14174,678,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 18:46:00,18.9766017,72.8326658,67560.0,rail,337.912203953
12368,616,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 22:49:00,19.0856491,72.9082207,82140.0,rail,59.8153286205
12618,625,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 09:03:00,19.0172909,72.8434865,32580.0,rail,34.3546197251
11120,568,Central Line,rail,2017-06-05 00:00:00,19.0802204,72.8983448,2017-06-05 08:01:00,19.0856491,72.9082207,28860.0,rail,59.8153286205
12621,625,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 09:11:00,19.0655986,72.8791535,33060.0,rail,38.3921476834
11126,568,Central Line,rail,2017-06-05 00:00:00,19.1565109,72.9637728,2017-06-05 08:15:00,19.1860408,72.9758837,29700.0,rail,21.1752874688
12366,616,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 22:44:00,19.0655986,72.8791535,81840.0,rail,38.3921476834
14178,678,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 18:52:00,19.0172909,72.8434865,67920.0,rail,34.3546197251
11131,568,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 08:28:00,19.218328,73.0868268,30480.0,rail,31.7560321231
13187,644,Central Line,rail,2017-06-05 00:00:00,19.2256889,73.0970259,2017-06-05 19:54:00,19.2354082,73.131024,71640.0,rail,73.1551489459
13252,647,Central Line,rail,2017-06-05 00:00:00,18.960941,72.839386,2017-06-05 20:03:00,18.9766017,72.8326658,72180.0,rail,337.912203953
13256,647,Central Line,rail,2017-06-05 00:00:00,19.0091607,72.8376084,2017-06-05 20:09:00,19.0172909,72.8434865,72540.0,rail,34.3546197251
13259,647,Central Line,rail,2017-06-05 00:00:00,19.0465879,72.8632167,2017-06-05 20:17:00,19.0655986,72.8791535,73020.0,rail,38.3921476834
14164,677,Central Line,rail,2017-06-05 00:00:00,19.103227,73.0114051,2017-06-05 18:48:00,19.218328,73.0868268,67680.0,rail,31.7560321231
